MutationType	CPCT02020307T	CPCT02020333T	CPCT02080024T	CPCT02030259TII	CPCT02040038T	CPCT02030250T	CPCT02050058T	CPCT02020393T	CPCT02030280T	CPCT02030278T	CPCT02100030T	CPCT02060056T	CPCT02030296T	CPCT02060046T	CPCT02130056T	CPCT02180051T	CPCT02070434T	DRUP01210006T	CPCT02020659T	CPCT02080191T	CPCT02330084T	CPCT02360009T	CPCT02060196T	CPCT02290028T	CPCT02030455T	CPCT02080198T	CPCT02010679T	CPCT02100152T	CPCT02070465T	CPCT02040224T	DRUP01060007T	CPCT02040223T	CPCT02270023T	CPCT02220079T	CPCT02230082T	CPCT02090043T	CPCT02130051T	CPCT02030259TIII	DRUP01020026T	CPCT02210046T	CPCT02120120T	WIDE01010205T	CPCT02340080T	WIDE01010216T	CPCT02130087T	WIDE01010264T	CPCT02130085T	WIDE01010292T	WIDE01010277T	CPCT02120118T	WIDE01010301T	CPCT02220045T	CPCT02130093T	CPCT02030482T	CPCT02030477T	CPCT02370026T	WIDE01010385T	WIDE01010397T	WIDE01010414T	WIDE01010420T	CPCT02270031T	CPCT02120132T	DRUP01010084T	CPCT02020741T	CPCT02020740T	CPCT02030492T	CPCT02070349T	CPCT02070348T	CPCT02060226T	CPCT02230111T	CPCT02080236T	CPCT02030498T	DRUP01050029T	CPCT02030505T	CPCT02120149T	CPCT02070358T	CPCT02060168T	CPCT02030509T	CPCT02210066T	CPCT02030495T	CPCT02060251T	CPCT02380049T	CPCT02300049T	CPCT02140079T	CPCT02110074T	CPCT02210065T	CPCT02120153T	CPCT02110078T	CPCT02030517T	CPCT02020466T	CPCT02070397T	CPCT02050203T	CPCT02020572T	CPCT02060142T	CPCT02230050T	CPCT02070222T	CPCT02010646T	CPCT02070418T	CPCT02080160T	CPCT02100112T	CPCT02100119T	CPCT02340032T	CPCT02020513T	CPCT02180025T	CPCT02120022T	CPCT02020516T	CPCT02060089T	CPCT02090018T	CPCT02060094T	CPCT02120028T	CPCT02090019T	CPCT02060105T	CPCT02020544T	CPCT02060110T	CPCT02030355T	CPCT02040127T	CPCT02070190T	CPCT02090020T	DRUP01020004T	CPCT02060120T	CPCT02070210T	CPCT02040144T	CPCT02040143T	CPCT02020593T	CPCT02180005T	CPCT02030299T	CPCT02020420T	CPCT02030303T	CPCT02070058T	CPCT02040050T	CPCT02020434T	CPCT02220006T	DRUP01140003T	CPCT02020459T	CPCT02330021T	CPCT02110016T	CPCT02330023T	CPCT02040095T	CPCT02160017T	CPCT02080093T	CPCT02060088T	CPCT02290021T	CPCT02340042T	CPCT02040192T	CPCT02300026T	CPCT02450007T	CPCT02170020T	CPCT02030440T	CPCT02190003T	WIDE01010536T	WIDE01010554T
T[Ins(C):R4]G	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
T[Ins(C):R4]T	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
T[Ins(C):R5]A	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
T[Ins(C):R5]G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R5]T	1	0	1	0	0	0	0	0	0	0	6	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
T[Ins(C):R6]A	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
T[Ins(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
T[Ins(C):R7]A	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R7]G	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R7]T	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
T[Ins(C):R8]A	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R8]T	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]A	2	4	7	2	4	4	2	3	7	1	4	4	2	2	6	7	0	3	4	7	2	9	0	5	3	4	2	4	9	3	1	3	4	4	8	1	4	1	4	2	0	4	3	5	3	4	7	1	4	1	1	6	3	8	1	0	1	2	6	8	2	2	3	3	3	6	4	3	5	2	2	1	2	2	4	2	2	4	2	0	1	1	0	0	2	5	2	2	1	3	0	0	5	3	7	0	1	6	4	2	4	2	2	3	1	5	2	2	3	4	3	1	4	0	1	2	1	0	2	8	5	8	2	2	5	4	3	6	5	1	1	3	0	0	3	0	0	4	12	3	0	4	3	3	4	5	5	4	6	0	1
A[Ins(T):R0]C	1	1	0	0	0	0	0	0	2	0	1	0	0	0	1	1	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	1	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0
A[Ins(T):R0]G	0	1	1	1	2	1	2	0	1	2	0	0	1	1	0	0	0	9	0	2	0	0	0	0	2	0	0	0	2	0	1	2	1	0	1	1	1	1	0	1	0	2	0	2	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	2	0	1	1	1	0	2	1	0	1	0	0	1	0	0	1	0	0	0	4	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	2	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	3	1	0	0
A[Ins(T):R1]A	1	3	1	0	1	3	1	0	3	1	2	4	1	0	1	4	1	2	3	4	4	4	1	3	0	1	0	3	4	2	1	2	4	1	1	1	4	0	1	1	0	3	0	1	0	0	1	0	0	0	2	2	3	2	0	1	1	0	1	4	1	3	4	2	1	2	1	4	5	1	1	1	1	2	1	0	2	2	1	0	1	0	0	0	2	2	1	2	2	1	0	0	3	4	1	3	1	1	2	2	3	1	2	5	1	2	2	2	0	4	2	1	0	0	4	2	4	0	1	1	1	3	1	4	2	3	2	4	4	0	1	1	0	1	4	0	2	3	2	1	2	1	1	3	0	2	1	0	1	3	2
A[Ins(T):R1]C	1	1	0	1	1	1	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	4	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0	2	0	2	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	2	1	0	4	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	1	1
A[Ins(T):R1]G	0	0	0	1	0	0	0	2	0	1	1	3	0	0	0	2	1	1	0	3	0	2	0	0	1	0	0	4	1	0	0	0	2	1	1	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	1	4	0	0	1	0	2	1	2	0	0	0	4	0	1	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	4	0	2	1	2	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	1	1	1	0	2	0	1	0	0
A[Ins(T):R2]A	0	1	0	0	0	2	1	1	0	0	0	3	0	0	5	0	1	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	0	2	2	0	1	1	0	2	0	1	0	1	2	1	0	1	0	1	0	0	0	1	0	1	1	1	1	2	1	2	1	3	2	0	4	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	3	2	3	1	0	0	0	0	0	2	3	0	2	4	1	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	2	2	1	1	1	2	0	1	0	1	2	1	0	0	0	0	0	2	1	0	0	1	0	3	0	0	2	1	1	0	0
A[Ins(T):R2]C	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	1	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	2	0	0	2	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0
A[Ins(T):R2]G	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	1	1	2	5	0	0	2	0	2	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	2	1	2	2	1	0	1	1	1	2	1	0	1	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	2	1	1	0
A[Ins(T):R3]A	0	2	1	1	0	0	0	1	0	2	2	1	1	1	0	3	1	0	0	0	1	1	2	1	1	0	0	1	0	0	1	0	0	2	1	1	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	2	0	0	2	1	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0	0	2	2	0	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2
A[Ins(T):R3]C	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
A[Ins(T):R3]G	1	1	1	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	2	0	1	0	0	0	1	1	1	0	1	0	2	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	1	1	0	0	2	1	0	0	0	1	1	0	0	1
A[Ins(T):R4]A	0	0	0	0	1	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	1	1	2	0	0	0	4	0	0	0	0	4	1	1	0	0	2	0	1	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	2	1	1	4	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	2	0	0	1	5	0	1	0	3	0	1	0	2	2	1	2	1	2	0	0	1	0	0	0	0	1	0	3	0	0	0	2	0	3	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	2	0	1	0	1	1	0	0	1	0	2	1	0	0
A[Ins(T):R4]C	1	0	1	1	0	2	1	0	3	1	0	2	1	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	1	1	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	2	2	1	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	1	1	1	3	0	1	0	1	0	0	0	0	0	1	2	1	3	0	1	2	1	1	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	1	0	2	1	1	0	2	1	1
A[Ins(T):R4]G	3	0	0	0	2	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	1	3	1	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	2	1	0	2	1	1	0	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	3	0	1	0	0	1	1	0	0	1	2	0	0	0	4	1	0	1	0	1	1	0	0	0	0	1	1	0	0	2	2	1	0	1	0	2	1	0	1	3	1	0	1	0	0
A[Ins(T):R5]A	1	0	1	1	2	1	3	1	2	0	1	1	0	2	1	0	1	0	2	2	0	2	0	1	1	1	0	0	1	2	0	0	2	2	0	1	0	1	8	0	0	0	1	0	1	0	3	0	1	0	0	4	2	2	0	1	1	1	0	3	1	1	2	1	2	2	2	3	4	1	0	1	2	0	0	0	2	0	0	2	0	0	0	0	3	4	2	3	4	1	0	0	4	0	0	0	1	1	0	2	1	5	1	0	0	5	4	3	1	1	0	0	0	0	1	2	0	1	2	2	8	3	1	4	1	0	0	0	2	0	1	2	3	1	0	0	2	1	2	2	0	1	1	0	2	3	0	0	3	0	0
A[Ins(T):R5]C	3	0	3	2	1	3	2	1	7	1	3	0	0	0	2	0	1	2	2	2	1	8	0	1	2	1	0	0	2	1	0	2	3	2	0	0	1	2	6	1	0	1	0	3	1	0	4	1	0	0	1	2	0	2	1	1	0	1	0	4	1	0	3	1	2	2	6	0	2	1	3	0	2	0	2	1	1	0	2	1	1	0	1	2	2	3	4	1	2	2	1	1	4	0	3	0	2	2	4	1	3	4	5	2	1	7	4	1	1	3	0	0	1	0	0	0	0	0	0	2	4	8	2	6	2	1	0	2	2	2	4	5	5	0	3	0	2	2	0	2	0	1	4	0	4	1	1	0	2	0	1
A[Ins(T):R5]G	3	0	2	0	0	2	2	0	7	0	3	0	0	1	0	1	1	0	1	0	1	1	0	0	3	0	0	1	0	0	1	3	5	6	1	2	0	0	5	1	0	1	2	4	1	0	3	0	1	0	0	3	1	1	0	0	1	2	2	2	3	0	0	3	1	2	4	1	2	0	1	1	0	0	1	0	1	1	0	0	0	2	0	0	3	3	2	1	1	0	0	1	5	0	1	2	2	1	1	0	1	1	4	2	1	2	1	2	2	3	0	0	1	0	0	2	2	1	0	2	3	5	1	6	3	0	0	1	1	2	3	5	2	0	0	0	1	2	1	0	1	2	3	1	1	1	0	3	3	0	1
A[Ins(T):R6]A	9	1	5	1	0	0	3	8	10	1	4	5	2	2	0	2	1	2	3	4	2	11	2	1	6	1	0	1	1	3	2	4	3	6	2	2	0	1	11	0	2	2	1	10	3	2	10	0	5	3	0	9	2	4	1	0	3	3	3	3	3	1	3	0	3	3	5	3	7	0	2	1	4	1	1	0	4	1	1	0	0	1	2	1	5	5	4	2	6	1	2	2	8	1	3	1	6	0	3	3	8	6	4	3	2	8	5	3	3	2	8	2	1	0	4	6	1	0	2	4	4	6	2	10	4	1	4	2	1	1	3	5	5	0	5	2	2	1	3	2	2	0	4	1	6	3	0	2	11	3	1
A[Ins(T):R6]C	5	1	4	4	2	1	3	4	11	2	5	3	3	4	3	4	7	2	5	0	6	9	3	4	4	1	2	3	1	3	0	6	3	10	0	3	2	5	10	3	3	1	2	4	2	3	10	0	2	0	2	2	2	3	0	1	2	6	1	6	2	5	6	2	5	4	8	1	3	2	3	1	2	0	4	2	3	2	1	1	0	1	3	4	2	7	3	4	12	0	0	6	6	0	4	1	4	1	8	2	7	9	6	3	3	9	7	4	3	4	2	1	0	1	4	1	4	0	3	3	7	3	6	11	4	1	2	0	5	3	1	4	3	1	3	1	2	3	0	3	1	1	4	6	2	3	0	2	3	1	0
A[Ins(T):R6]G	1	2	4	4	5	2	6	6	12	4	2	2	0	2	4	3	0	1	3	4	2	8	1	2	1	0	1	3	4	3	0	1	5	8	1	4	1	4	10	3	1	4	5	5	5	6	10	0	4	1	1	4	3	6	1	1	2	3	0	5	1	3	1	2	5	9	5	5	6	2	6	0	3	0	1	5	5	0	1	1	0	0	0	2	1	8	6	2	8	4	4	2	7	1	2	0	3	2	5	7	4	10	7	0	4	12	6	6	2	4	2	0	1	0	2	5	3	3	2	2	13	7	6	13	10	1	3	1	3	2	2	17	8	1	1	0	3	4	8	4	0	3	5	1	5	6	1	2	9	5	3
A[Ins(T):R7]A	6	3	2	1	3	2	5	7	13	1	3	5	5	4	9	0	2	1	4	3	7	14	1	3	7	2	0	2	3	2	1	4	4	10	0	5	3	2	10	0	2	1	3	8	1	2	14	0	8	1	1	3	1	4	0	1	2	7	4	4	3	7	3	1	4	3	2	6	6	4	8	1	3	3	2	2	3	2	0	1	0	0	1	3	2	8	1	2	2	1	4	4	4	2	2	1	6	4	4	1	7	8	5	2	3	10	10	4	0	5	5	1	1	0	1	5	6	2	3	8	8	6	6	14	10	4	3	4	1	1	9	5	2	1	1	0	1	4	10	8	2	4	1	1	2	2	3	5	4	1	0
A[Ins(T):R7]C	4	2	2	3	3	2	5	6	7	4	4	6	3	2	4	2	1	3	6	3	4	4	2	5	1	1	0	1	2	4	2	4	5	9	1	3	0	3	5	2	3	2	1	6	5	4	9	0	4	0	2	3	7	5	0	1	3	7	3	2	0	1	3	3	3	8	8	3	1	4	6	1	1	1	2	3	4	1	3	3	1	2	1	2	7	9	6	3	7	1	1	4	4	0	9	1	4	4	7	1	6	8	5	2	1	7	8	3	1	4	2	0	1	1	4	5	6	2	5	8	7	4	1	7	5	3	4	1	2	1	10	8	4	0	2	0	0	2	4	3	1	3	6	1	7	5	0	6	5	6	5
