MutationType	SP24708	SP24301	SP27201	SP28791	SP23739	SP24702	SP25332	SP28335	SP26709	SP25350	SP25380	SP24565	SP25833	SP25905	SP26439	SP24236	SP23925	SP24815	SP27957	SP27603	SP27825	SP24135	SP26499	SP25518	SP28659	SP23622	SP27939	SP23754	SP29697	SP27339	SP29559	SP29331	SP26475	SP23775	SP28275	SP28581	SP23639	SP24391	SP28041	SP25494	SP26649	SP78927	SP78913	SP107375	SP107408	SP107439	SP78816	SP78663	SP78709	SP107462	SP78951	SP107435	SP78679	SP107360	SP78819	SP78821	SP107552	SP78865	SP107470	SP78673	SP78824	SP107550	SP78718	SP107451	SP107557	SP107358	SP78731	SP107455	SP107549	SP78814	SP107357	SP78919	SP107453	SP78719	SP78662	SP107457	SP107404	SP78714	SP107454	SP107359	SP78664	SP78931	SP78815	SP107466	SP78901	SP107384	SP107467	SP78680	SP78672	SP107365	SP78660	SP78659	SP107449	SP78813	SP78953	SP78804	SP107460	SP107548	SP78730	SP78727	SP78822	SP78818	SP78923	SP107405	SP107437	SP78675	SP107371	SP107556	SP78807	SP78945	SP107480	SP107448	SP107436	SP79150	SP107546	SP107459	SP78823	SP78666	SP78721	SP78665	SP78935	SP107458	SP79160	SP107479	SP107377	SP78937	SP107444	SP79144	SP107469	SP107373	SP107406	SP107369	SP107403	SP107363	SP78955	SP78711	SP78677	SP78805	SP107461	SP107472	SP107356	SP78825	SP107468	SP78851	SP78726	SP107379	SP107474	SP107438	SP107478	SP78716	SP78676	SP107443	SP107361	SP107464	SP78717	SP78671	SP78817	SP107381	SP107463	SP107477	SP78661	SP78939	SP78674	SP107553	SP107555	SP107446	SP78713	SP78720	SP78947	SP78875	SP107554	SP107407	SP78820	SP78668	SP107547	SP79148	SP107386	SP78921	SP107545	SP107440	SP79066	SP107473	SP107362	SP78722	SP78729	SP107441	SP78873	SP47708	SP47990	SP48414	SP48135	SP47652	SP48888	SP48426	SP48480	SP48263	SP47628	SP47808	SP48850	SP48189	SP48073	SP48008	SP48504	SP48534	SP48010	SP79365	SP79237	SP79462	SP79201	SP79371	SP79439	SP79175	SP79354	SP79184	SP79312	SP79252	SP79294	SP79246	SP79458	SP79222	SP79178	SP79474	SP79387	SP79306	SP79270	SP79210	SP79427	SP79297	SP79368	SP79351	SP79300	SP79435	SP79288	SP79447	SP79403	SP79377	SP79327	SP79324	SP79359	SP79330	SP79391	SP79399	SP79243	SP79192	SP79395	SP79195	SP79318	SP79282	SP79261	SP79228	SP79431	SP79172	SP79234	SP79345	SP79342	SP79415	SP79407	SP79374	SP79291	SP79336	SP79380	SP79455	SP79181	SP79207	SP79190	SP79303	SP79258	SP79249	SP79321	SP79423	SP79219	SP79240	SP79255	SP79466	SP79357	SP79443	SP79285	SP79470	SP79309	SP79383	SP79187	SP79315	SP79264	SP79333	SP79204	SP79419	SP79198	SP79339	SP79411	SP79279	SP79451	SP79231	SP79225	SP79267
A[Ins(T):R1]C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R1]G	1	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R2]A	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R2]C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R2]G	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R3]A	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R3]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R3]G	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R4]A	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	1	1	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R4]C	0	0	0	0	1	2	0	0	0	1	0	0	0	3	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	3	0	0	0	0	1	0	0	1	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R4]G	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R5]A	3	0	0	1	1	0	0	1	3	1	0	0	1	0	0	1	0	0	1	1	2	0	0	2	1	0	0	1	0	0	0	0	2	0	2	1	0	2	1	3	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	2	1	1	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	2	0	1	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	3	1	2	1	0	2	2	0	0	0	2	0	0	5	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	3	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R5]C	3	1	1	1	0	2	1	1	3	0	2	1	3	0	0	1	1	1	1	0	1	1	0	0	3	0	0	0	0	0	1	0	1	0	2	0	1	0	1	3	2	0	1	0	3	0	0	2	3	3	1	2	0	0	0	1	1	1	0	1	0	0	1	1	2	1	2	1	0	0	2	1	0	0	0	0	0	1	2	2	0	0	2	0	4	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	1	0	2	0	1	0	1	2	0	2	1	0	0	0	3	2	5	0	2	0	4	0	1	0	0	0	2	6	3	1	0	0	0	1	1	1	1	0	5	0	2	2	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	2	1	1	1	3	1	1	1	1	2	0	1	0	0	1	0	1	0	3	2	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R5]G	0	1	3	0	1	0	0	0	1	1	0	2	0	0	0	1	0	2	2	0	2	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	2	1	0	0	0	1	0	0	1	1	2	0	2	1	0	0	3	0	1	0	0	0	1	0	0	0	0	1	1	0	1	4	1	1	0	0	0	1	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	2	2	1	1	2	1	1	0	1	1	0	0	0	0	1	0	1	1	2	1	0	1	2	1	0	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	2	0	0	1	0	0	0	1	1	0	2	0	2	0	0	0	1	1	0	0	0	0	2	0	1	1	3	0	0	0	0	2	2	0	0	2	0	0	2	0	3	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R6]A	0	5	0	1	0	3	1	1	3	3	1	0	5	0	2	1	2	2	4	2	1	1	2	2	3	1	0	0	2	0	1	0	2	5	1	3	1	2	0	1	2	1	0	1	6	0	0	4	1	3	1	2	0	3	0	2	0	0	1	0	1	0	5	3	3	0	2	0	0	1	6	1	0	0	0	6	2	3	1	2	3	0	1	3	4	3	0	0	0	3	1	0	0	3	0	0	1	3	3	4	1	1	1	5	3	1	6	4	0	1	1	1	0	0	3	2	1	0	1	4	2	5	1	0	6	3	1	0	0	1	5	3	4	2	0	0	1	2	0	0	3	0	3	10	0	7	3	1	3	2	0	0	3	5	0	1	0	3	7	3	4	1	4	0	1	1	6	1	2	0	4	4	1	0	0	6	5	3	1	3	0	2	4	0	3	4	0	2	0	4	1	0	0	0	2	0	0	0	3	1	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R6]C	2	3	4	1	1	4	0	2	4	2	3	1	3	2	2	5	3	0	4	2	2	2	0	3	6	2	1	1	1	2	1	4	2	3	2	0	2	0	2	11	1	1	1	3	5	0	2	4	5	4	1	2	4	5	0	2	3	0	3	0	1	0	4	3	2	1	0	3	1	2	4	1	2	0	0	5	4	2	4	4	4	1	1	0	6	8	0	4	3	1	0	0	0	3	1	0	1	6	5	1	2	3	0	7	1	0	3	3	2	1	1	1	2	0	7	0	0	0	1	3	2	7	2	8	6	3	1	7	0	6	3	7	4	4	1	0	1	2	1	0	1	1	2	4	1	5	1	3	1	4	4	1	6	4	0	2	1	7	3	6	3	0	7	0	2	0	7	1	3	1	5	4	4	0	1	8	10	0	0	2	0	3	4	0	5	4	1	2	0	1	2	0	0	0	3	0	0	2	0	2	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R6]G	2	5	7	2	0	3	1	3	5	2	2	2	4	1	0	4	1	5	1	3	2	1	1	3	6	4	2	0	2	3	3	1	2	3	0	1	2	2	9	8	1	0	1	5	7	3	3	3	7	7	1	5	1	4	0	2	0	0	4	0	1	0	10	4	3	1	1	0	1	3	11	3	2	0	2	2	6	2	3	3	1	1	1	5	5	5	2	4	2	3	1	0	0	4	3	1	0	4	2	5	6	3	0	7	3	1	5	6	0	0	1	0	1	1	5	1	0	0	0	3	2	5	6	4	6	5	0	1	0	8	1	9	9	5	2	0	1	3	0	2	1	1	1	19	0	7	1	0	3	4	3	0	9	4	0	1	1	3	3	2	2	2	5	0	2	2	10	3	0	2	7	3	3	1	2	6	5	3	1	3	1	1	3	0	2	4	2	4	1	0	2	2	1	0	5	0	0	2	1	2	1	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R7]A	2	6	0	3	0	6	1	0	7	0	3	1	6	1	1	2	2	4	5	1	1	4	1	1	1	2	5	0	3	2	2	3	7	5	5	3	6	1	4	3	3	1	0	4	3	0	1	5	5	6	0	1	1	8	0	4	0	0	7	0	1	1	6	2	2	2	0	0	0	0	7	2	5	0	0	1	4	1	0	5	4	4	1	3	7	4	0	1	2	4	0	0	0	0	0	2	1	2	7	3	4	2	0	9	1	2	4	4	1	2	0	5	3	0	5	2	0	0	0	4	2	5	3	7	2	6	1	2	0	5	7	2	16	2	1	0	0	1	1	1	2	1	1	12	3	6	5	0	2	3	2	0	5	7	0	1	0	5	2	3	5	1	4	0	11	0	9	1	0	0	4	2	0	0	1	12	11	7	5	3	1	0	4	1	3	4	0	2	0	2	1	1	0	1	3	2	0	3	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
A[Ins(T):R7]C	6	5	5	2	3	5	2	0	4	2	3	2	2	0	0	2	2	5	2	2	3	3	0	2	7	0	2	0	2	3	3	5	4	5	1	2	4	1	7	2	2	2	0	6	3	3	1	8	3	6	3	3	3	4	0	4	3	3	4	0	2	2	11	2	3	0	0	0	1	0	6	3	1	0	1	3	2	2	6	9	4	2	1	4	4	8	2	2	1	2	1	1	2	2	0	2	4	0	4	3	3	2	0	4	0	5	8	6	0	3	5	0	6	0	6	0	0	3	0	1	0	5	3	5	3	9	2	5	1	1	3	5	9	8	2	0	1	7	1	0	4	2	0	18	0	9	4	4	3	13	5	0	7	4	0	5	0	2	10	4	2	2	9	0	1	4	15	2	3	0	10	16	2	0	1	12	9	6	2	4	0	1	2	0	3	3	2	6	1	0	2	1	1	0	2	0	1	1	3	3	2	3	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0
A[Ins(T):R7]G	0	8	0	1	1	6	1	1	1	5	4	1	5	1	1	5	2	3	4	1	3	4	0	4	2	1	3	1	1	3	3	5	4	2	2	2	4	4	2	11	0	3	1	3	5	3	1	5	2	6	1	3	2	3	2	4	1	2	2	0	1	3	4	2	2	0	1	3	1	1	5	3	3	0	0	8	5	0	2	7	3	6	1	4	5	3	0	1	0	3	1	0	1	2	0	2	1	8	0	2	3	1	0	7	6	6	3	3	3	0	0	1	2	0	7	2	1	4	0	7	5	9	1	4	7	10	1	2	0	3	2	5	6	6	0	0	0	1	1	1	2	1	2	9	4	7	2	2	4	8	1	0	2	7	1	2	2	4	5	3	0	0	7	0	6	0	16	2	1	1	11	11	2	0	1	9	8	3	1	3	1	2	7	0	5	2	3	5	0	1	2	1	0	0	1	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
